"","chr","x0","x1"
"1","chr1",11298385,11298725
"2","chr1",11300299,11300710
"3","chr1",11301500,11301884
"4","chr1",11303057,11303471
"5","chr1",11307553,11308239
"6","chr1",11313764,11314192
"7","chr1",11315981,11316298
"8","chr1",11316903,11317286
"9","chr1",11318372,11318778
"10","chr1",11319162,11319598
"11","chr1",12042578,12042939
"12","chr1",14096709,14096824
"13","chr1",14295274,14295586
"14","chr1",14792339,14792708
"15","chr1",14804792,14805063
"16","chr1",15318239,15318597
"17","chr1",17345266,17345550
"18","chr1",17348971,17349331
"19","chr1",17350375,17350690
"20","chr1",17354085,17354453
"21","chr1",17354972,17355387
"22","chr1",17359406,17359733
"23","chr1",17371108,17371517
"24","chr1",17380426,17380563
"25","chr1",18240744,18241083
"26","chr1",19120781,19121024
"27","chr1",20294888,20295159
"28","chr1",21675799,21676104
"29","chr1",23885307,23885967
"30","chr1",24275519,24275651
"31","chr1",25197135,25197216
"32","chr1",25620508,25621210
"33","chr1",25725158,25725833
"34","chr1",26207081,26207360
"35","chr1",27023409,27023660
"36","chr1",27056076,27056375
"37","chr1",27057561,27058165
"38","chr1",27059029,27059413
"39","chr1",27087278,27087634
"40","chr1",27087706,27088106
"41","chr1",27088528,27088921
"42","chr1",27089406,27089859
"43","chr1",27092587,27093159
"44","chr1",27094179,27094582
"45","chr1",27097562,27097872
"46","chr1",27098848,27099646
"47","chr1",27099697,27100536
"48","chr1",27100761,27101793
"49","chr1",27101940,27102515
"50","chr1",27105408,27107340
"51","chr1",27533367,27533946
"52","chr1",30124637,30124920
"53","chr1",30605837,30606033
"54","chr1",30956235,30956566
"55","chr1",31901561,31901706
"56","chr1",34001129,34001489
"57","chr1",34823433,34823819
"58","chr1",36931623,36931884
"59","chr1",36931943,36932543
"60","chr1",36932809,36932978
"61","chr1",36933109,36933847
"62","chr1",36934650,36935016
"63","chr1",36935156,36935475
"64","chr1",36937069,36937228
"65","chr1",36937600,36937770
"66","chr1",36937878,36937901
"67","chr1",36938101,36938314
"68","chr1",36938950,36939488
"69","chr1",36940977,36941272
"70","chr1",36944919,36945247
"71","chr1",37197540,37197867
"72","chr1",38154644,38155042
"73","chr1",38736703,38736933
"74","chr1",40362962,40363762
"75","chr1",40366762,40367140
"76","chr1",42082275,42082687
"77","chr1",43803496,43804531
"78","chr1",43804911,43805332
"79","chr1",43805521,43806298
"80","chr1",43811994,43812723
"81","chr1",43814509,43814717
"82","chr1",43814879,43815233
"83","chr1",43817811,43818553
"84","chr1",44253973,44254309
"85","chr1",45477853,45478051
"86","chr1",45478472,45481306
"87","chr1",45794848,45795208
"88","chr1",45796080,45796327
"89","chr1",45796737,45797505
"90","chr1",45797606,45799354
"91","chr1",45799953,45800299
"92","chr1",45803778,45804026
"93","chr1",45805531,45806054
"94","chr1",46254942,46255078
"95","chr1",47685351,47685416
"96","chr1",47685646,47685863
"97","chr1",47689564,47689851
"98","chr1",47691488,47691723
"99","chr1",48257923,48258160
"100","chr1",51435886,51436331
