"","chr","x0","x1"
"1","chr11",12696870,12697003
"2","chr11",32410252,32410935
"3","chr11",32413396,32414480
"4","chr11",32417401,32418138
"5","chr11",32421115,32421787
"6","chr11",32437913,32438384
"7","chr11",32438912,32439314
"8","chr11",32449197,32450477
"9","chr11",32451769,32452296
"10","chr11",32455905,32456980
"11","chr11",33128063,33128451
"12","chr11",33161861,33162140
"13","chr11",34906473,34906661
"14","chr11",51579458,51579719
"15","chr11",51580420,51580635
"16","chr11",66886834,66887004
"17","chr11",69455802,69456504
"18","chr11",69457718,69458097
"19","chr11",69458490,69459126
"20","chr11",69462348,69463339
"21","chr11",69465730,69466410
"22","chr11",99511953,99512694
"23","chr11",102678299,102678727
"24","chr11",104553033,104553253
"25","chr11",108098217,108098997
"26","chr11",108099773,108100314
"27","chr11",108106285,108106758
"28","chr11",108114452,108115108
"29","chr11",108115306,108116008
"30","chr11",108117471,108118121
"31","chr11",108119480,108120108
"32","chr11",108121169,108122096
"33","chr11",108122350,108122881
"34","chr11",108123439,108123787
"35","chr11",108124306,108125175
"36","chr11",108126783,108127231
"37","chr11",108128079,108128579
"38","chr11",108129633,108130016
"39","chr11",108137727,108138329
"40","chr11",108138866,108139544
"41","chr11",108141647,108142455
"42","chr11",108142988,108143696
"43","chr11",108150047,108150632
"44","chr11",108151446,108152256
"45","chr11",108153336,108153902
"46","chr11",108154735,108155483
"47","chr11",108158160,108158768
"48","chr11",108159458,108160790
"49","chr11",108163112,108163616
"50","chr11",108163937,108164317
"51","chr11",108165413,108166080
"52","chr11",108167833,108168320
"53","chr11",108170227,108170777
"54","chr11",108172124,108172638
"55","chr11",108173358,108174117
"56","chr11",108175229,108175856
"57","chr11",108178397,108178916
"58","chr11",108180561,108181203
"59","chr11",108183041,108183320
"60","chr11",108186299,108187071
"61","chr11",108187970,108188404
"62","chr11",108190565,108191092
"63","chr11",108191672,108192301
"64","chr11",108195785,108197318
"65","chr11",108198242,108198840
"66","chr11",108199511,108200233
"67","chr11",108200623,108201321
"68","chr11",108201921,108203003
"69","chr11",108203269,108203827
"70","chr11",108204457,108204861
"71","chr11",108205368,108206019
"72","chr11",108206433,108206869
"73","chr11",108213602,108214452
"74","chr11",108216218,108217022
"75","chr11",108217881,108218238
"76","chr11",108224208,108224821
"77","chr11",108225335,108225799
"78","chr11",108235386,108236534
"79","chr11",118307392,118307739
"80","chr11",118339229,118339853
"81","chr11",118342231,118344411
"82","chr11",118347325,118347875
"83","chr11",118348569,118349203
"84","chr11",118350552,118351189
"85","chr11",118352129,118353437
"86","chr11",118354773,118355193
"87","chr11",118355431,118355932
"88","chr11",118359136,118359692
"89","chr11",118360367,118361223
"90","chr11",118370315,118370706
"91","chr11",118371662,118371983
"92","chr11",118372231,118372621
"93","chr11",118378157,118378482
"94","chr11",118379792,118380180
"95","chr11",118380464,118380888
"96","chr11",119148302,119149764
"97","chr11",124115112,124115521
