chr,x0,x1
chr7,1553877,1555300
chr7,1556602,1557491
chr7,1558498,1559011
chr7,1559463,1560297
chr7,1561238,1565724
chr7,1576113,1577346
chr7,1577552,1581233
chr7,1581582,1583287
chr7,1583768,1585841
chr7,1586604,1587214
chr7,1587675,1588014
chr7,3568294,3568882
chr7,4172619,4173287
chr7,4175601,4176012
chr7,5706295,5706947
chr7,5909224,5909911
chr7,5928092,5928682
chr7,5955478,5956025
chr7,6046625,6047203
chr7,6062645,6063331
chr7,6347776,6348414
chr7,6368636,6369217
chr7,6652913,6653403
chr7,7021161,7021744
chr7,7282779,7283460
chr7,7283700,7284431
chr7,7569326,7570580
chr7,7571111,7571721
chr7,7572622,7573268
chr7,7573594,7574335
chr7,7576299,7578808
chr7,7579006,7580170
chr7,7591633,7593291
chr7,7603757,7607016
chr7,7748519,7753855
chr7,7753977,7757116
chr7,7930439,7931061
chr7,7931804,7932463
chr7,7939082,7939568
chr7,8042018,8042694
chr7,8102416,8102766
chr7,8131167,8136619
chr7,8137533,8139890
chr7,8140339,8142229
chr7,8146015,8146746
chr7,8151038,8151604
chr7,8393605,8394005
chr7,8396038,8396302
chr7,8409609,8409739
chr7,8445392,8445648
chr7,10318496,10318778
chr7,10366757,10367021
chr7,10417042,10417292
chr7,10446906,10447236
chr7,10551754,10552044
chr7,11694438,11694953
chr7,19861119,19861814
chr7,20136864,20137193
chr7,20851406,20852036
chr7,21407677,21408241
chr7,22253090,22253336
chr7,26794602,26795674
chr7,27047522,27048090
chr7,28043361,28043847
chr7,29058719,29059540
chr7,29061623,29062393
chr7,29070080,29070670
chr7,29086303,29086792
chr7,29093272,29093894
chr7,29095577,29096343
chr7,29096627,29097263
chr7,29102988,29103703
chr7,29422128,29422781
chr7,29482709,29483463
chr7,29485715,29486418
chr7,29489924,29490673
chr7,29496619,29497321
chr7,29508163,29509111
chr7,29509213,29510005
chr7,29527130,29528795
chr7,29532975,29533696
chr7,29541189,29541866
chr7,29545746,29546437
chr7,29548548,29549212
chr7,29550180,29550893
chr7,29551737,29552619
chr7,29553153,29554957
chr7,29555691,29558227
chr7,29558846,29560545
chr7,29562294,29563308
chr7,29575723,29576446
chr7,29579690,29580294
chr7,29584390,29586452
chr7,29587094,29587844
chr7,29588324,29589221
chr7,29591912,29592633
chr7,29626253,29626871
chr7,29652548,29653541
chr7,29654229,29655137
chr7,29657031,29657765
chr7,29661411,29662292
chr7,29663011,29666115
chr7,29667143,29667952
chr7,29669720,29670435
chr7,29675875,29676626
chr7,29676912,29677631
chr7,29678935,29679720
chr7,29683149,29684706
chr7,29685214,29686309
chr7,29687199,29688000
chr7,29693986,29694567
chr7,29700607,29701440
chr7,29705623,29706234
chr7,30264110,30264933
chr7,30267017,30267808
chr7,30274374,30274990
chr7,30292935,30293480
chr7,30299916,30300536
chr7,30302189,30302972
chr7,30303242,30303916
chr7,30309685,30310413
chr7,30315064,30315768
chr7,30320020,30322022
chr7,30322291,30323015
chr7,30323551,30324109
chr7,30325392,30326283
chr7,37921954,37922346
chr7,38595734,38596308
chr7,40359280,40360010
chr7,40361880,40362618
chr7,40459587,40459756
chr7,40474049,40475450
chr7,40854131,40855273
chr7,40855432,40856118
chr7,40856361,40857528
chr7,40857776,40858495
chr7,40859688,40860359
chr7,40860592,40861223
chr7,40861484,40862260
chr7,40863959,40864807
chr7,40864984,40865648
chr7,40869677,40871514
chr7,40871927,40872740
chr7,40874535,40875272
chr7,40875975,40876749
chr7,40879366,40880044
chr7,40880562,40881264
chr7,41197337,41198117
chr7,41199358,41200031
chr7,41200807,41201514
chr7,41201814,41202406
chr7,41202815,41203407
chr7,41208758,41209435
chr7,41215107,41216233
chr7,41219376,41219934
chr7,41222606,41223585
chr7,41226048,41226847
chr7,41228139,41228906
chr7,41231050,41231798
chr7,41234072,41234917
chr7,41242638,41247108
chr7,41247560,41248240
chr7,41249007,41249534
chr7,41251532,41252232
chr7,41255912,41257241
chr7,41258161,41258845
chr7,41267477,41268080
chr7,41275683,41276399
chr7,41276854,41277578
chr7,41321427,41321913
chr7,43131173,43131848
chr7,44798696,44799811
chr7,49715854,49716542
chr7,54445205,54445804
chr7,56408312,56408942
chr7,58677440,58678549
chr7,58700549,58701331
chr7,58710921,58711642
chr7,58724965,58725680
chr7,58733670,58734599
chr7,58740050,58741273
chr7,59147052,59147640
chr7,59760471,59761789
chr7,59762893,59763801
chr7,59770517,59771143
chr7,59792978,59793642
chr7,59816220,59817075
chr7,59819998,59820834
chr7,59821468,59822217
chr7,59853485,59854308
chr7,59857302,59858654
chr7,59861380,59862064
chr7,59870712,59871358
chr7,59876131,59876894
chr7,59878251,59879130
chr7,59885508,59886386
chr7,59924155,59924854
chr7,59926178,59926907
chr7,59934055,59934864
chr7,59936858,59937540
chr7,59938494,59939166
chr7,61908192,61908919
chr7,63640260,63640851
chr7,67043896,67044073
chr7,73264354,73264496
chr7,73980654,73981282
chr7,73981933,73982675
chr7,73987212,73988010
chr7,73995884,73996703
chr7,74731985,74733433
chr7,77789789,77790491
chr7,79573815,79574424
chr7,79588893,79589575
chr7,81187506,81188130
