chr,x0,x1
chr11,5708950,5709176
chr11,63530651,63531558
chr11,63531941,63532099
chr11,63532203,63532379
chr11,63532592,63532739
chr11,63533086,63533313
chr11,65429254,65429702
chr11,65430287,65430394
chr11,70691956,70692124
chr11,85195001,85195176
chr11,95724851,95725050
chr11,95825045,95825340
chr11,95826624,95826850
chr11,96074537,96074805
chr11,96074936,96075229
chr11,96076062,96076178
chr11,101981413,101982017
chr11,101984808,101985135
chr11,102033177,102033297
chr11,102056742,102056786
chr11,102076765,102076935
chr11,102080236,102080480
chr11,102094341,102094644
chr11,102098188,102098324
chr11,102100421,102100573
chr11,124621976,124622139
