chr,x0,x1
chr1,1737894,1737894
chr1,1737899,1737899
chr1,36931972,36931972
chr1,36932456,36932456
chr1,36932502,36932502
chr1,36933538,36933538
chr1,43815032,43815032
chr1,52266241,52266241
chr1,65300343,65300343
chr1,65301764,65301764
chr1,65303646,65303646
chr1,65303658,65303658
chr1,65310488,65310488
chr1,65311213,65311213
chr1,65311261,65311261
chr1,65312341,65312341
chr1,65321249,65321249
chr1,65321387,65321387
chr1,83147256,83147256
chr1,83147267,83147267
chr1,120458003,120458003
chr1,120458387,120458387
chr1,120458923,120458923
chr1,120468127,120468127
chr1,120468133,120468133
chr1,120468316,120468316
chr1,120468324,120468324
chr1,120468424,120468424
chr1,120468486,120468486
chr1,120469121,120469121
chr1,155870415,155870415
chr1,155880572,155880572
chr1,158507156,158507156
chr1,236700935,236700935
chr2,25064156,25064156
chr2,25469501,25469501
chr2,25536826,25536826
chr2,61719712,61719712
chr2,71633416,71633416
chr2,136872430,136872430
chr2,136872636,136872636
chr2,136872714,136872714
chr2,198265525,198265525
chr2,198266268,198266268
chr2,198266271,198266271
chr2,198266660,198266660
chr2,198266827,198266827
chr2,198266861,198266861
chr2,209104739,209104739
chr2,209108316,209108316
chr2,209113191,209113191
chr2,209113295,209113295
chr2,209113387,209113387
chr2,209116133,209116133
chr3,47079111,47079111
chr3,47088119,47088119
chr3,47125384,47125384
chr3,47144939,47144939
chr3,47162660,47162660
chr3,47162729,47162729
chr3,47162885,47162885
chr3,47163421,47163421
chr3,95176721,95176721
chr3,111981877,111981877
chr3,128199892,128199892
chr3,128200071,128200071
chr3,128204876,128204876
chr3,128204909,128204909
chr3,128204950,128204950
chr3,128205002,128205002
chr3,128205008,128205008
chr3,128205859,128205859
chr3,169482790,169482790
chr3,169482828,169482828
chr3,169482834,169482834
chr4,1976711,1976711
chr4,55593463,55593463
chr4,99037819,99037819
chr4,99037903,99037903
chr4,106155184,106155184
chr4,106155750,106155750
chr4,106156162,106156162
chr4,106156186,106156186
chr4,106156810,106156810
chr4,106158215,106158215
chr4,106190861,106190861
chr4,106196828,106196828
chr4,106196950,106196950
chr4,106196999,106196999
chr4,106197749,106197749
chr4,106197780,106197780
chr4,153244136,153244136
chr5,1279515,1279515
chr5,1279521,1279521
chr5,1295232,1295232
chr5,1295255,1295255
chr5,1295348,1295348
chr5,35874574,35874574
chr5,35874659,35874659
chr5,35875592,35875592
chr5,148889419,148889419
chr5,148904582,148904582
chr5,170837525,170837525
chr5,176939145,176939145
chr5,176940014,176940014
chr5,176940383,176940383
chr5,176940665,176940665
chr5,176940870,176940870
chr5,176943903,176943903
chr6,30361231,30361231
chr6,33053639,33053639
chr6,33053694,33053694
chr6,33053722,33053722
chr6,33053727,33053727
chr6,33053736,33053736
chr6,33053738,33053738
chr6,65525079,65525079
chr6,79655537,79655537
chr7,6066449,6066449
chr7,50435687,50435687
chr7,50435776,50435776
