chr,x0,x1
chr21,9825773,9825933
chr21,9826151,9826298
chr21,10819506,10819760
chr21,10856786,10856940
chr21,11180726,11181021
chr21,11186524,11186971
chr21,15309240,15309761
chr21,15373080,15374160
chr21,15377354,15377778
chr21,16028674,16029155
chr21,18340712,18341376
chr21,18740522,18741043
chr21,19693027,19693614
chr21,19852257,19852865
chr21,20475700,20475837
chr21,21086956,21087383
chr21,22011782,22012269
chr21,22869280,22869872
chr21,24691539,24691991
chr21,25807852,25808408
chr21,26903991,26904377
chr21,27223630,27224195
chr21,28013847,28014310
chr21,28041204,28041429
chr21,29200204,29200793
chr21,29679349,29679969
chr21,30685349,30685867
chr21,33443991,33444616
chr21,34242893,34243317
chr21,35653021,35653591
chr21,35992727,35993360
chr21,36164403,36165044
chr21,36171325,36172027
chr21,36193724,36194223
chr21,36206518,36253330
chr21,36258968,36259561
chr21,36265012,36265468
chr21,36420867,36421595
chr21,36971865,36972354
chr21,38450918,38451441
chr21,39151297,39151967
chr21,39328183,39328769
chr21,39739336,39739799
chr21,39755094,39764617
chr21,39772083,39772788
chr21,39774212,39774718
chr21,39775214,39775857
chr21,39795060,39817753
chr21,39870087,39870515
chr21,39947324,39947864
chr21,40056051,40056748
chr21,40970084,40970676
chr21,41263690,41264006
chr21,41345775,41346289
chr21,41794764,41795329
chr21,42303465,42303963
chr21,42415663,42416182
chr21,42837873,42838213
chr21,42839385,42840740
chr21,42842310,42842918
chr21,42843452,42844158
chr21,42845062,42845682
chr21,42848290,42848746
chr21,42850796,42851510
chr21,42852118,42880039
chr21,43492299,43492892
chr21,43844986,43845536
chr21,44512917,44513637
chr21,44514303,44516121
chr21,44520320,44520834
chr21,44521203,44521825
chr21,44524174,44524745
chr21,44527291,44527819
chr21,45188899,45189508
chr21,46252656,46252912
chr21,46344241,46344713
chr21,47546118,47546354
