chr,x0,x1
chr11,123461,124583
chr11,124970,125097
chr11,125682,125915
chr11,325134,325420
chr11,354455,354800
chr11,389321,389586
chr11,532393,534632
chr11,574013,574410
chr11,2016271,2019156
chr11,2022189,2022931
chr11,2154103,2155191
chr11,2156347,2156990
chr11,2161074,2161782
chr11,2466269,2467006
chr11,2482845,2483417
chr11,2542501,2543064
chr11,2548883,2549565
chr11,2591663,2593543
chr11,2593838,2594435
chr11,2604407,2605061
chr11,2606190,2606807
chr11,2608557,2609173
chr11,2609719,2610365
chr11,2682936,2683588
chr11,2789814,2790428
chr11,2796937,2797502
chr11,2797939,2798538
chr11,2798969,2799560
chr11,2868801,2869434
chr11,2905082,2905471
chr11,2905869,2906858
chr11,3259191,3259844
chr11,4482465,4482702
chr11,4569290,4569909
chr11,5496581,5497011
chr11,5954503,5955074
chr11,6553708,6554406
chr11,7903620,7904280
chr11,8242743,8243286
chr11,8245846,8246555
chr11,8248271,8248909
chr11,8251633,8252269
chr11,8284823,8285040
chr11,8289851,8290144
chr11,8462495,8462925
chr11,9681873,9682217
chr11,10411425,10411963
chr11,10753116,10753270
chr11,11014656,11015254
chr11,11095906,11096546
chr11,11644286,11644903
chr11,12373637,12374095
chr11,13162069,13162592
chr11,13345366,13345886
chr11,14086141,14086729
chr11,15333139,15333693
chr11,15939597,15940177
chr11,17456963,17457877
chr11,17563223,17563784
chr11,18783804,18784514
chr11,19422176,19422768
chr11,20213707,20214259
chr11,21135506,21136112
chr11,21491954,21492593
chr11,22478712,22478881
chr11,22645993,22647513
chr11,22980213,22980764
chr11,23590566,23590976
chr11,24882023,24882194
chr11,24998815,24999259
chr11,26786685,26787243
chr11,27309647,27310278
chr11,28106843,28106977
chr11,29707322,29707764
chr11,30774239,30774821
chr11,32410308,32410998
chr11,32413294,32414568
chr11,32417481,32418233
chr11,32421184,32421866
chr11,32437800,32438321
chr11,32438848,32439441
chr11,32449306,32450374
chr11,32451961,32452291
chr11,32456074,32456969
chr11,33067996,33068510
chr11,33880669,33881353
