chr,x0,x1
chr7,320364,320802
chr7,450786,451435
chr7,1314549,1315282
chr7,1317138,1318158
chr7,1320913,1321676
chr7,1324990,1325808
chr7,1327382,1328107
chr7,1331203,1331793
chr7,1404002,1404169
chr7,1819290,1819466
chr7,3116291,3116408
chr7,3127012,3127614
chr7,3358525,3358791
chr7,4384406,4385004
chr7,4693193,4693477
chr7,5194327,5194900
chr7,5245486,5245619
chr7,5611416,5611922
chr7,6978315,6978969
chr7,7858321,7858461
chr7,8201945,8202270
chr7,8264299,8264946
chr7,9102756,9103411
chr7,9471900,9472258
chr7,12110880,12111572
chr7,13442426,13443083
chr7,14560469,14560712
chr7,14852456,14853615
chr7,14861408,14863673
chr7,14868396,14869018
chr7,14870948,14871518
chr7,14875674,14876296
chr7,14877042,14877730
chr7,14882403,14883900
chr7,14975389,14975835
chr7,15808338,15809391
chr7,15817752,15818315
chr7,15819276,15819852
chr7,15821614,15822749
chr7,15826110,15826625
chr7,15827055,15827664
chr7,15833600,15834231
chr7,15836413,15837020
chr7,15838011,15838724
chr7,15840599,15841636
chr7,16084899,16085104
chr7,16261367,16262003
chr7,16428121,16428267
chr7,17755490,17755621
chr7,18998393,18998546
chr7,19412869,19413007
chr7,21705010,21705145
chr7,21854246,21854898
chr7,22446211,22446911
chr7,23626689,23627338
chr7,25995518,25995740
chr7,26229146,26229628
chr7,27835030,27835494
chr7,28676967,28677687
chr7,29037467,29038128
chr7,30322395,30323232
chr7,30323735,30324173
chr7,30326051,30327760
chr7,31265741,31265971
chr7,31294420,31295074
chr7,32223942,32224983
chr7,32419636,32419787
chr7,33651101,33651669
chr7,34011697,34011918
chr7,34054125,34054792
chr7,34554262,34554398
chr7,38040526,38041213
chr7,38853845,38854001
chr7,39234319,39234866
chr7,39908915,39909478
chr7,39911098,39911879
chr7,39912824,39913819
chr7,39914344,39915055
chr7,39916089,39916882
chr7,39921138,39924063
chr7,39929930,39934729
chr7,39935413,39936050
chr7,39936750,39937479
chr7,40076499,40077156
chr7,42166357,42166634
chr7,42927598,42928200
chr7,44141813,44141954
chr7,44732520,44733512
chr7,44820258,44820881
chr7,44833641,44834258
chr7,44869997,44870519
chr7,44879556,44880259
chr7,44893891,44894508
chr7,44896666,44897178
chr7,44910752,44911249
chr7,44912753,44913517
chr7,44917986,44920918
chr7,44921645,44923268
chr7,44928563,44929860
