chr,x0,x1
chr4,713415,713558
chr4,1902132,1903232
chr4,1905650,1906409
chr4,1913488,1914141
chr4,1918325,1919036
chr4,1919659,1920586
chr4,1932070,1932824
chr4,1936622,1937302
chr4,1940080,1940365
chr4,1941071,1941825
chr4,1943784,1944438
chr4,1952504,1953185
chr4,1953580,1954179
chr4,1954601,1955522
chr4,1956598,1958160
chr4,1959361,1960037
chr4,1960934,1961718
chr4,1962422,1963209
chr4,1976255,1977416
chr4,1977987,1978562
chr4,1980121,1980736
chr4,3034511,3034732
chr4,4508605,4509706
chr4,7259564,7259746
chr4,10968796,10969322
chr4,13633944,13634410
chr4,17429133,17430092
chr4,19815128,19815713
chr4,25624941,25625200
chr4,27162134,27162830
chr4,37822783,37823316
chr4,39715677,39716147
chr4,42473644,42474587
chr4,43390044,43390622
chr4,47493188,47493695
chr4,49151370,49151590
chr4,55589413,55590182
chr4,55591785,55592426
chr4,55592999,55594017
chr4,55598875,55599684
chr4,68264724,68264913
chr4,73615602,73616284
chr4,82931683,82931990
chr4,83492250,83492359
chr4,83492475,83493230
chr4,83500990,83502752
chr4,91290280,91290532
chr4,99037607,99038159
chr4,103583750,103583887
chr4,106111298,106111918
chr4,106154672,106158847
chr4,106162211,106162911
chr4,106163673,106165180
chr4,106180393,106181257
chr4,106182620,106183306
chr4,106190410,106191322
chr4,106193435,106194343
chr4,106195786,106197973
chr4,113276921,113281241
chr4,113451443,113451841
chr4,114863315,114863870
chr4,128733984,128734627
chr4,133885600,133886092
chr4,137276020,137277715
chr4,145841731,145842436
chr4,148785935,148786237
chr4,148887699,148888070
chr4,151160812,151161194
chr4,152354986,152355465
chr4,153243730,153244573
chr4,153245058,153245840
chr4,153246874,153247668
chr4,153249068,153249843
chr4,153250497,153251229
chr4,153251577,153252321
chr4,153253446,153254028
chr4,153258642,153259388
chr4,153267724,153268490
chr4,153269537,153270184
chr4,153270924,153271527
chr4,153273344,153274211
chr4,153303036,153303716
chr4,153332112,153333237
chr4,156522033,156522208
chr4,164007634,164008230
chr4,164031008,164031682
chr4,164047932,164048519
chr4,164049797,164050772
chr4,164053915,164054749
chr4,164058038,164058677
chr4,164061101,164061783
chr4,164066688,164067249
chr4,164069205,164069820
chr4,164085031,164085755
chr4,164087201,164088195
chr4,165933679,165934124
chr4,190317750,190318369
