chr,x0,x1
chr11,130145,131423
chr11,168836,169155
chr11,180146,180454
chr11,193027,193227
chr11,193659,193963
chr11,194334,194534
chr11,197252,197465
chr11,197508,197813
chr11,197977,198185
chr11,198361,198637
chr11,199316,199561
chr11,199888,200088
chr11,205249,205719
chr11,205897,206097
chr11,207152,207412
chr11,208736,208996
chr11,209110,210052
chr11,210326,210526
chr11,211146,211401
chr11,212363,212563
chr11,213246,213470
chr11,214155,214545
chr11,216608,216808
chr11,218726,219093
chr11,223703,223903
chr11,224015,224291
chr11,230399,230604
chr11,232930,233267
chr11,233290,233586
chr11,235995,236380
chr11,236937,237197
chr11,238937,239137
chr11,243958,244283
chr11,244347,244547
chr11,244618,244818
chr11,247224,247500
chr11,248715,248915
chr11,250734,250934
chr11,251486,251686
chr11,251767,251988
chr11,252452,252652
chr11,278484,278684
chr11,279263,279663
chr11,279693,280011
chr11,280031,281891
chr11,282649,282849
chr11,284166,284452
chr11,285113,285356
chr11,289765,290125
chr11,290338,290650
chr11,291923,292147
chr11,292493,292729
chr11,292833,293049
chr11,293313,293554
chr11,294046,294248
chr11,298448,298765
chr11,299241,299552
chr11,308140,308490
chr11,308677,308877
chr11,308960,309322
chr11,314104,314408
chr11,314869,315165
chr11,319685,320042
chr11,320512,320865
chr11,369752,370031
chr11,372005,372316
chr11,372548,372808
chr11,373382,373582
chr11,373689,373889
chr11,375394,375594
chr11,376021,376226
chr11,379365,379753
chr11,379813,380071
chr11,380573,380773
chr11,381566,381886
chr11,392568,392768
chr11,394209,394576
chr11,396547,396747
chr11,396761,397501
chr11,398939,399248
chr11,399903,400193
chr11,400281,400503
chr11,403025,403325
chr11,403565,403823
chr11,403890,404187
chr11,405843,406590
chr11,406790,407045
chr11,407372,407620
chr11,407724,408009
chr11,408020,408258
chr11,408642,408945
chr11,409136,409336
chr11,409711,409971
chr11,418318,418641
chr11,418666,418866
chr11,419529,419781
chr11,420380,420667
chr11,428035,428251
chr11,428276,428476
chr11,429511,429711
chr11,429971,430231
chr11,431641,431850
chr11,433261,433541
chr11,433762,433989
chr11,441823,442023
chr11,450392,450689
chr11,451255,451515
chr11,460134,460340
chr11,473836,474036
chr11,479032,479244
chr11,486886,487125
chr11,487345,487545
chr11,488146,488364
chr11,488476,488699
chr11,489347,489566
chr11,489830,490120
chr11,490337,490634
chr11,494628,495108
chr11,497918,498193
chr11,498404,498679
chr11,498710,498985
chr11,499450,499650
chr11,499776,500051
chr11,500429,500706
chr11,502009,502214
chr11,532534,532856
chr11,533184,533713
chr11,534110,534423
chr11,540612,540913
chr11,541480,541680
chr11,544650,544850
chr11,549849,550050
