chr,x0,x1
chr9,1823403,1824174
chr9,5069637,5070374
chr9,5073449,5074099
chr9,5078022,5078745
chr9,6668791,6670231
chr9,21967966,21969037
chr9,21969465,21970065
chr9,21970610,21971466
chr9,21974229,21975173
chr9,21993923,21994675
chr9,22005732,22006520
chr9,22008416,22009326
chr9,37490636,37491022
chr9,80795406,80795660
chr9,94768189,94768564
chr9,112787301,112787787
chr9,126881100,126881816
chr9,128967720,128968399
chr9,136205710,136206050
chr9,139390192,139392313
chr9,139396378,139398103
chr9,139398839,139401413
