chr,x0,x1
chr17,1563084,1563304
chr17,1563530,1563759
chr17,1565099,1565323
chr17,6574430,6574624
chr17,6584070,6584283
chr17,6587181,6587396
chr17,6589132,6589352
chr17,6605068,6605256
chr17,6613616,6613829
chr17,6625165,6625387
chr17,6655657,6655886
chr17,6744033,6744163
chr17,6856881,6857097
chr17,6904706,6904937
chr17,6981181,6981407
chr17,7132337,7132558
chr17,7133000,7133163
chr17,7217237,7217466
chr17,7290619,7290835
chr17,7537619,7537796
chr17,7538657,7538815
chr17,7553531,7553746
chr17,7572864,7573064
chr17,7573819,7574038
chr17,7576479,7576628
chr17,7576713,7576932
chr17,7577012,7577222
chr17,7577388,7577613
chr17,7578071,7578294
chr17,7578352,7578559
chr17,7579314,7579536
chr17,7579699,7579929
chr17,7582937,7583104
chr17,7674738,7674954
chr17,7676502,7676720
chr17,7900099,7900235
chr17,7944005,7944228
chr17,7947950,7948178
chr17,7968171,7968372
chr17,7994495,7994703
chr17,8007432,8007654
chr17,8076451,8076672
chr17,8298333,8298550
chr17,8329819,8330048
chr17,58740168,58740380
chr17,58740423,58740635
chr17,58740682,58740850
