"","chr","x0","x1"
"1","chr1",167640543,167640858
"2","chr1",168348979,168349377
"3","chr1",168726957,168727377
"4","chr1",169572807,169573050
"5","chr1",169796784,169797031
"6","chr1",170206746,170207110
"7","chr1",171835328,171835694
"8","chr1",175057833,175058170
"9","chr1",175591807,175592137
"10","chr1",176775554,176775803
"11","chr1",177746823,177747270
"12","chr1",178163504,178163533
"13","chr1",179354742,179355053
"14","chr1",180901081,180901187
"15","chr1",181442839,181443160
"16","chr1",182988566,182988666
"17","chr1",183765633,183765976
"18","chr1",184230896,184231203
"19","chr1",184807376,184807686
"20","chr1",186167791,186168041
"21","chr1",188487622,188487723
"22","chr1",189234480,189234798
"23","chr1",190033304,190033476
"24","chr1",190491649,190491933
"25","chr1",192281240,192281579
"26","chr1",192730330,192730665
"27","chr1",193091248,193091593
"28","chr1",193094107,193094447
"29","chr1",193099203,193099489
"30","chr1",193104414,193104774
"31","chr1",193107077,193107402
"32","chr1",193110921,193111243
"33","chr1",193116951,193117198
"34","chr1",193119351,193119654
"35","chr1",193121383,193121696
"36","chr1",193172849,193173098
"37","chr1",193181132,193181343
"38","chr1",193181390,193181744
"39","chr1",193202040,193202388
"40","chr1",193205222,193205609
"41","chr1",193218740,193219157
"42","chr1",193219718,193219927
"43","chr1",194438444,194438867
"44","chr1",197364967,197365171
"45","chr1",197999209,197999426
"46","chr1",199878627,199878846
"47","chr1",200596094,200596389
"48","chr1",202055805,202056057
"49","chr1",202300800,202301236
"50","chr1",202302062,202302779
"51","chr1",202304032,202304230
"52","chr1",202304638,202305051
"53","chr1",202618575,202618936
"54","chr1",203225014,203225348
"55","chr1",203913412,203913751
"56","chr1",204393900,204394270
"57","chr1",204394566,204395000
"58","chr1",204396695,204396990
"59","chr1",204397118,204397443
"60","chr1",204398998,204399240
"61","chr1",204400664,204401080
"62","chr1",204401231,204401595
"63","chr1",204402301,204402701
"64","chr1",204402793,204403206
"65","chr1",204403453,204403837
"66","chr1",204407942,204408338
"67","chr1",204409205,204409561
"68","chr1",204410460,204410806
"69","chr1",204411536,204411863
"70","chr1",204412450,204412841
"71","chr1",204413047,204413681
"72","chr1",204414957,204415365
"73","chr1",204416469,204416746
"74","chr1",204418214,204418532
"75","chr1",204418918,204419242
"76","chr1",204423726,204423988
"77","chr1",204424970,204425318
"78","chr1",204426086,204426302
"79","chr1",204426800,204427076
"80","chr1",204428888,204429169
"81","chr1",204429316,204429933
"82","chr1",204433035,204433819
"83","chr1",204434226,204434587
"84","chr1",204438011,204438979
"85","chr1",204494527,204494842
"86","chr1",204495367,204495626
"87","chr1",204499665,204500099
"88","chr1",204501204,204501526
"89","chr1",204501769,204502095
"90","chr1",204505939,204506183
"91","chr1",204506443,204507534
"92","chr1",204511793,204512184
"93","chr1",204513517,204513923
"94","chr1",204515799,204516140
"95","chr1",204518149,204518917
"96","chr1",204527670,204527897
"97","chr1",205181334,205181724
"98","chr1",206677023,206677396
"99","chr1",207635628,207635936
"100","chr1",208447436,208447729
