chr,x0,x1
chr11,9020891,9021180
chr11,9627473,9628226
chr11,9681747,9682407
chr11,11095662,11096705
chr11,14316159,14316579
chr11,19175956,19176162
chr11,19591309,19591485
chr11,23157331,23157462
chr11,32410181,32411105
chr11,32413217,32414668
chr11,32417410,32418318
chr11,32420995,32421963
chr11,32437657,32438460
chr11,32438754,32439571
chr11,32449124,32450508
chr11,32451766,32452653
chr11,32455834,32457024
chr11,33128021,33128554
chr11,33161717,33162451
chr11,34764147,34765018
chr11,34906164,34907020
chr11,43283385,43285229
chr11,43739984,43740738
chr11,44940131,44940263
chr11,51579380,51579749
chr11,51580422,51580611
chr11,51582641,51583057
chr11,51584849,51585053
chr11,51586756,51587122
chr11,51588270,51588424
chr11,51588802,51589167
chr11,51590837,51591273
chr11,62099005,62099503
chr11,62559593,62560479
chr11,62561454,62562836
chr11,62563012,62565165
chr11,62565681,62566374
chr11,62567469,62570042
chr11,62570634,62572036
chr11,62572664,62573056
chr11,64532555,64533787
chr11,64534253,64538225
chr11,64540548,64541315
chr11,64543626,64544444
chr11,64545757,64546007
chr11,65953882,65954028
chr11,67048083,67048434
chr11,67052414,67052804
chr11,68830688,68830897
chr11,69462639,69463034
chr11,70089289,70089450
chr11,71791905,71792075
chr11,71990926,71992444
chr11,74790053,74790612
chr11,76065915,76066368
chr11,77580111,77580323
chr11,78441094,78441368
chr11,85955836,85956722
chr11,85960978,85961862
chr11,85962830,85963624
chr11,85965921,85966684
chr11,85966990,85967883
chr11,85968245,85969021
chr11,85974860,85975637
chr11,85976725,85977623
chr11,85979154,85979945
chr11,85987645,85989915
chr11,94152942,94153718
chr11,94168680,94169417
chr11,94170008,94170745
chr11,94178638,94179410
chr11,94180135,94180858
chr11,94189090,94189863
chr11,94192218,94193104
chr11,94193746,94194561
chr11,94196954,94197782
chr11,94200654,94201380
chr11,94203284,94204145
chr11,94204388,94205268
chr11,94209086,94209927
chr11,94211535,94213255
chr11,94218781,94219607
chr11,94223606,94224445
chr11,94225584,94226338
chr11,94770592,94771876
chr11,94800249,94801478
chr11,99511854,99512643
chr11,102194950,102196567
chr11,102196975,102197368
chr11,102198446,102199218
chr11,102199492,102199992
chr11,102201411,102202274
chr11,102206398,102208130
chr11,102220463,102221968
chr11,102238862,102239385
chr11,102248530,102249013
chr11,102677381,102678837
chr11,104552884,104553412
chr11,108098000,108098957
chr11,108099569,108100424
chr11,108106020,108106899
chr11,108114392,108116036
chr11,108117305,108118205
chr11,108119351,108120201
chr11,108121099,108122109
chr11,108122225,108123114
chr11,108123218,108123977
chr11,108124192,108125130
chr11,108126611,108127575
chr11,108127818,108128641
chr11,108129368,108130157
chr11,108137556,108138348
chr11,108138793,108139682
chr11,108141462,108142477
chr11,108142871,108143937
chr11,108149909,108150686
chr11,108151366,108152241
chr11,108153109,108153945
chr11,108154600,108155513
chr11,108157929,108158775
chr11,108159259,108160854
chr11,108162987,108164584
chr11,108165300,108166131
chr11,108167682,108168495
chr11,108170099,108170964
chr11,108171942,108172867
chr11,108173152,108174099
chr11,108175035,108175938
chr11,108178215,108179081
chr11,108180559,108181413
chr11,108182792,108183575
chr11,108186043,108187288
chr11,108187771,108188585
chr11,108190359,108191152
chr11,108191569,108192511
chr11,108193413,108193838
chr11,108195696,108197308
chr11,108197920,108198808
chr11,108199319,108200272
chr11,108200580,108201488
chr11,108201812,108203946
chr11,108204235,108205037
chr11,108205294,108207034
chr11,108213560,108214497
chr11,108216139,108216988
chr11,108217532,108218454
chr11,108224127,108224955
chr11,108225198,108225940
chr11,108235456,108236561
chr11,110696927,110697677
chr11,111348769,111348908
chr11,115932234,115932437
chr11,118307250,118307969
chr11,118337243,118337414
chr11,118339176,118339916
chr11,118342147,118344306
chr11,118347191,118348019
chr11,118348397,118349193
chr11,118350511,118351287
chr11,118352059,118353515
chr11,118354566,118356025
chr11,118359035,118359815
chr11,118360137,118361356
chr11,118370229,118370918
chr11,118371383,118372857
chr11,118377905,118378684
chr11,118379538,118380177
chr11,118380398,118381075
chr11,118873730,118874363
chr11,119148086,119149729
chr11,119499924,119500151
chr11,120462239,120462435
chr11,124114990,124115714
chr11,132289241,132289538
chr11,134667135,134667978
