chr,x0,x1
chr17,1562918,1565639
chr17,4537601,4537863
chr17,7569317,7569775
chr17,7572693,7573236
chr17,7573717,7574241
chr17,7576405,7577764
chr17,7577964,7578748
chr17,7579087,7580153
chr17,29422116,29422559
chr17,29482799,29483319
chr17,29485856,29486311
chr17,29489993,29490610
chr17,29496737,29497199
chr17,29508227,29508971
chr17,29509316,29509882
chr17,29527232,29528701
chr17,29533042,29533596
chr17,29541309,29541796
chr17,29545831,29546343
chr17,29548656,29549144
chr17,29550264,29550780
chr17,29551908,29552482
chr17,29553255,29554844
chr17,29555835,29558157
chr17,29558929,29560439
chr17,29562407,29563205
chr17,29575823,29576346
chr17,29579730,29580204
chr17,29585147,29586361
chr17,29587198,29587736
chr17,29588516,29589064
chr17,29592068,29592539
chr17,29652644,29653467
chr17,29654294,29655060
chr17,29657125,29657702
chr17,29661652,29662241
chr17,29663161,29665352
chr17,29665516,29666013
chr17,29667309,29667850
chr17,29669823,29670337
chr17,29675934,29676470
chr17,29676990,29677532
chr17,29679069,29679630
chr17,29683280,29684602
chr17,29685308,29686245
chr17,29687302,29687940
chr17,29700826,29701392
chr17,40353545,40355047
chr17,40359371,40359955
chr17,40361977,40362717
chr17,40363766,40364425
chr17,40367820,40368337
chr17,40368981,40369695
chr17,40369959,40371247
chr17,40371681,40372073
chr17,40375175,40375794
chr17,40376577,40377117
chr17,40379354,40379905
chr17,40383823,40384329
chr17,40441715,40442234
chr17,40443845,40444217
chr17,40447506,40448026
chr17,40451574,40451948
chr17,40452361,40453663
chr17,40458045,40458679
chr17,40460865,40461676
chr17,40467522,40468049
chr17,40468607,40469490
chr17,40474082,40475868
chr17,40476557,40477305
chr17,40477914,40478433
chr17,40481197,40482036
chr17,40483290,40483741
chr17,40485470,40486273
chr17,40489254,40490041
chr17,40490544,40491649
chr17,40497387,40497873
chr17,40498377,40498944
chr17,40500194,40500744
chr17,40525883,40526320
chr17,58677558,58678466
chr17,58700670,58701319
chr17,58711016,58711527
chr17,58725044,58725657
chr17,58733781,58734406
chr17,58740151,58741107
chr17,74732355,74733465
