chr,x0,x1
chr17,1563063,1563332
chr17,1563510,1563779
chr17,1565079,1565348
chr17,6574411,6574645
chr17,6584051,6584308
chr17,6587162,6587416
chr17,6589112,6589372
chr17,6605040,6605275
chr17,6613585,6613851
chr17,6625146,6625408
chr17,6655638,6655907
chr17,6744001,6744193
chr17,6856852,6857121
chr17,6904688,6904957
chr17,6981159,6981428
chr17,7132319,7132579
chr17,7132981,7133183
chr17,7217217,7217486
chr17,7290600,7290855
chr17,7537601,7537818
chr17,7538634,7538837
chr17,7553512,7553765
chr17,7572842,7573085
chr17,7573800,7574058
chr17,7576458,7576654
chr17,7576688,7576957
chr17,7576994,7577243
chr17,7577369,7577635
chr17,7578048,7578317
chr17,7578333,7578581
chr17,7579297,7579555
chr17,7579680,7579949
chr17,7582918,7583128
chr17,7674718,7674987
chr17,7676476,7676745
chr17,7900067,7900267
chr17,7943979,7944248
chr17,7947931,7948198
chr17,7968152,7968391
chr17,7994472,7994723
chr17,8007413,8007674
chr17,8076427,8076696
chr17,8298307,8298576
chr17,8329799,8330068
chr17,58740136,58740405
chr17,58740406,58740655
chr17,58740658,58740875
