chr,x0,x1
chr9,1427535,1428041
chr9,1636458,1636837
chr9,1875718,1876370
chr9,1982384,1982921
chr9,2039738,2040280
chr9,2190074,2190546
chr9,2205881,2206166
chr9,3333497,3333834
chr9,3886729,3887298
chr9,4007431,4007922
chr9,4020461,4020937
chr9,4082328,4082709
chr9,4117445,4117957
chr9,4359921,4360296
chr9,4546152,4546579
chr9,4970631,4971051
chr9,5050507,5050920
chr9,5069746,5070183
chr9,5070585,5071006
chr9,5072306,5072834
chr9,5073599,5074377
chr9,5077390,5077657
chr9,5078145,5078606
chr9,5080000,5080791
chr9,5081522,5082106
chr9,5089563,5090092
chr9,5090317,5090728
chr9,5400494,5400799
chr9,5565465,5565732
chr9,6525493,6525855
chr9,6616467,6616798
chr9,6704882,6705126
chr9,7216650,7217025
chr9,7441100,7441709
chr9,7531523,7531831
chr9,7785289,7785744
chr9,8461581,8461892
chr9,8537782,8538190
chr9,8970813,8971103
chr9,9360394,9360700
chr9,9605743,9606115
chr9,21968019,21968956
chr9,21970641,21971378
chr9,21974274,21974999
chr9,21993873,21994480
chr9,22005708,22006427
chr9,22008597,22009130
chr9,33675229,33677131
chr9,77174800,77175370
chr9,115950344,115951019
chr9,127910123,127910458
chr9,133589460,133590134
chr9,133710748,133711021
chr9,133729204,133730749
chr9,133737892,133738765
chr9,133747198,133747844
chr9,133748036,133748724
chr9,133750003,133750597
chr9,133753594,133754213
chr9,133755206,133756312
chr9,139390319,139392159
chr9,139396501,139397042
chr9,139397375,139398068
chr9,139398979,139400485
chr9,139400670,139401378
chr9,139709420,139709706
