chr,x0,x1
chr17,890814,891466
chr17,1561252,1565663
chr17,3443934,3444502
chr17,3568334,3568844
chr17,4330651,4331259
chr17,5906125,5906741
chr17,5928128,5928695
chr17,5955456,5956007
chr17,6062656,6063340
chr17,6202098,6202703
chr17,6347794,6348375
chr17,6368638,6369272
chr17,7021138,7021782
chr17,7282846,7283469
chr17,7283731,7284436
chr17,7569300,7570602
chr17,7571096,7571758
chr17,7572641,7573266
chr17,7573660,7574283
chr17,7576268,7578798
chr17,7579054,7580153
chr17,7591643,7593297
chr17,7603779,7607006
chr17,7921721,7922359
chr17,7930493,7931056
chr17,7931861,7932430
chr17,7939029,7939578
chr17,8042012,8042674
chr17,8131216,8136609
chr17,8137523,8139919
chr17,8140364,8142204
chr17,8146031,8146716
chr17,8151063,8151618
chr17,8934423,8935080
chr17,9806534,9807073
chr17,10916758,10917325
chr17,11694412,11694948
chr17,12763431,12764025
chr17,13034601,13035170
chr17,13960136,13960741
chr17,14486257,14486944
chr17,14985161,14985799
chr17,16374826,16375423
chr17,20136870,20137230
chr17,20834557,20835283
chr17,20851502,20852069
chr17,21407691,21408233
chr17,22253101,22253322
chr17,28043383,28043821
chr17,29422103,29422792
chr17,29482723,29483427
chr17,29485741,29486431
chr17,29489950,29490646
chr17,29496649,29497282
chr17,29508152,29509044
chr17,29509255,29510160
chr17,29527131,29528777
chr17,29532981,29533705
chr17,29541195,29541882
chr17,29545736,29546461
chr17,29548560,29549246
chr17,29550178,29550831
chr17,29551756,29552611
chr17,29553216,29554967
chr17,29555745,29558248
chr17,29558864,29560513
chr17,29562314,29563341
chr17,29575756,29576429
chr17,29579661,29580252
chr17,29584395,29586435
chr17,29587091,29587850
chr17,29588400,29589199
chr17,29591934,29592683
chr17,29626201,29626910
chr17,29652564,29653533
chr17,29654242,29655165
chr17,29657020,29657817
chr17,29661399,29662331
chr17,29663003,29666124
chr17,29667228,29667991
chr17,29669745,29670391
chr17,29675902,29676575
chr17,29676911,29677629
chr17,29678964,29679718
chr17,29683179,29684720
chr17,29685212,29686293
chr17,29687244,29688001
chr17,29693954,29694565
chr17,29700711,29701460
chr17,29705679,29706185
chr17,30063911,30064526
chr17,30893759,30894358
chr17,31876899,31877535
chr17,32013887,32014474
chr17,32457925,32458544
chr17,33847040,33847632
chr17,35121923,35122539
chr17,36592671,36593305
chr17,39154411,39155073
chr17,40359345,40360031
chr17,40361882,40362618
chr17,40474059,40475440
chr17,40799847,40800100
chr17,41197353,41198114
chr17,41199367,41200016
chr17,41200846,41201539
chr17,41201825,41202387
chr17,41202846,41203388
chr17,41208808,41209412
chr17,41215081,41216261
chr17,41219326,41219989
chr17,41222675,41223531
chr17,41226086,41226795
chr17,41228203,41228911
chr17,41231048,41231798
chr17,41234111,41234892
chr17,41242670,41247130
chr17,41247560,41248260
chr17,41248995,41249539
chr17,41251530,41252218
chr17,41255842,41257265
chr17,41258144,41258841
chr17,41267467,41268141
chr17,41275729,41276398
chr17,41276841,41277561
chr17,41321407,41321963
chr17,42996816,42997533
chr17,43131086,43131822
chr17,44989570,44990191
chr17,45762656,45763322
chr17,49515479,49516071
chr17,49715845,49716591
chr17,50538325,50538834
chr17,52065373,52066054
chr17,52598471,52599142
chr17,54850010,54850691
chr17,56686068,56686696
chr17,58677439,58678544
chr17,58700609,58701373
chr17,58710923,58711657
chr17,58725015,58725682
chr17,58733743,58734625
chr17,58740058,58741204
chr17,59760433,59761771
chr17,59762882,59763832
chr17,59770534,59771157
chr17,59792975,59793678
chr17,59816303,59817042
chr17,59820047,59820826
chr17,59821500,59822234
chr17,59853480,59854296
chr17,59857300,59858661
chr17,59861318,59862087
chr17,59870622,59871401
chr17,59876162,59876911
chr17,59878310,59879124
chr17,59885551,59886370
chr17,59924149,59924875
chr17,59926183,59926941
chr17,59934075,59934891
chr17,59936832,59937543
chr17,59938494,59939184
chr17,60842825,60843432
chr17,64572161,64572785
chr17,64730592,64731264
chr17,67229522,67230197
chr17,69180699,69181294
chr17,70299609,70300207
chr17,70834488,70835173
chr17,71386710,71387302
chr17,71879863,71880440
chr17,74562853,74563518
chr17,74731934,74733618
chr17,76158256,76158804
chr17,77186717,77187338
chr17,77768169,77771095
chr17,77771758,77772315
chr17,79261491,79262111
chr17,80780120,80780661
chr17,81026002,81026800
